dates,number_of_marriage
2022-11-28,21
2020-10-12,20
2016-01-08,15
2018-05-16,12
2022-12-06,9
2017-05-26,10
2022-05-09,22
2021-07-27,14
2017-10-28,19
2019-11-03,12
2019-04-09,19
2021-12-13,11
2022-07-04,13
2016-08-07,14
2022-08-10,20
2016-06-16,10
2017-08-30,14
2016-09-29,15
2021-02-27,11
2020-05-16,16
2017-11-20,14
2016-12-08,12
2017-01-18,14
2018-02-19,16
2022-01-19,18
2018-10-07,18
2017-05-07,11
2021-10-06,24
2017-06-28,24
2018-11-26,19
2020-10-06,15
2020-03-21,12
2022-05-01,13
2020-10-17,15
2022-07-25,20
2021-08-12,13
2016-06-08,11
2018-11-18,16
2017-07-24,18
2016-03-01,9
2017-09-30,17
2019-04-14,13
2018-02-04,16
2018-11-27,16
2022-05-27,21
2019-06-04,15
2019-07-08,9
2020-07-14,15
2020-08-02,10
2016-09-12,18
2019-12-03,12
2020-11-04,9
2020-06-19,19
2019-03-02,10
2017-02-27,26
2017-08-30,15
2019-03-24,17
2021-09-10,18
2022-12-17,15
2020-05-18,16
2016-11-14,17
2019-01-21,16
2021-10-13,10
2019-10-07,11
2022-09-18,12
2020-02-26,16
2019-08-11,19
2022-02-02,12
2018-05-09,16
2019-04-03,12
2022-01-13,17
2016-05-07,13
2022-03-07,13
2020-01-06,15
2022-09-01,17
2020-08-22,28
2021-01-04,10
2022-03-15,15
2019-01-17,9
2022-08-27,16
2019-04-02,19
2020-09-21,14
2017-05-18,13
2016-03-12,14
2019-05-08,15
2020-03-05,11
2022-01-13,14
2018-11-23,18
2018-09-03,9
2018-03-19,17
2016-06-20,10
2017-05-11,13
2018-07-31,20
2017-03-25,18
2019-05-17,20
2019-07-14,15
2022-04-23,23
2016-04-09,22
2020-07-12,18
2016-04-12,20
